term,aliases,cluster,scope,lifecycle_stage,audience,tier,angles,related_terms,claude_specific,definition
RAG,Retrieval-Augmented Generation,Retrieval & Knowledge,conceptual,evaluation,all,1,"def,process,cross,failure,role",Vector Database|Embedding|Semantic Search|Knowledge Graph|Grounding,yes,"An architecture that retrieves relevant documents from external storage before generating a response — giving the model access to knowledge beyond its training data."
Vector Database,vector store,Retrieval & Knowledge,technical,adoption,developer|cto,2,"def,process,cross,role",Embedding|RAG|Semantic Search,no,"A database optimized for storing and querying high-dimensional embeddings — enabling fast similarity search across millions of documents."
Semantic Search,,Retrieval & Knowledge,conceptual,adoption,all,2,"def,process,cross",Vector Database|Embedding|RAG|Hybrid Search,no,"Search that finds results based on meaning rather than keyword matching — using embeddings to retrieve conceptually related content even when exact terms differ."
Knowledge Graph,,Retrieval & Knowledge,conceptual,adoption,cto|developer|operator,2,"def,process,cross,absence",RAG|Semantic Search|Grounding,yes,"A structured representation of entities and their relationships — enabling richer retrieval and reasoning than flat document search by encoding how concepts connect."
Chunking,,Retrieval & Knowledge,technical,adoption,developer,2,"def,process,failure,cross",RAG|Vector Database|Document Indexing,no,"Splitting documents into segments before indexing — a seemingly simple decision with major impact on retrieval quality. Chunk too large: low precision. Too small: lost context."
Document Indexing,,Retrieval & Knowledge,technical,adoption,developer,2,"def,process,cross",RAG|Chunking|Vector Database,no,"The process of processing, chunking, embedding, and storing documents so they can be retrieved later — the build phase of any RAG system."
Hybrid Search,,Retrieval & Knowledge,technical,scaling,developer|cto,3,"def,process,cross,failure",Semantic Search|RAG|Reranking,no,"Combining keyword-based (BM25) and semantic (embedding) search — typically outperforming either method alone, especially for technical or domain-specific content."
Reranking,,Retrieval & Knowledge,technical,scaling,developer,3,"def,process,cross",RAG|Hybrid Search|Semantic Search,no,"A second-pass step that reorders retrieved documents by relevance before passing them to the model — significantly improving RAG precision at modest cost."
Long Context,,Retrieval & Knowledge,conceptual,evaluation,all,2,"def,cross,failure,role",Context Window|RAG|Prompt Caching,yes,"Using a model's extended context window to process large documents directly — an alternative to RAG when document sets are manageable and latency is acceptable."
Long-term Memory,,Retrieval & Knowledge,conceptual,adoption,developer|cto,2,"def,process,cross",Agent Memory|RAG|Episodic Memory|Working Memory,yes,"Persistent storage of information across agent sessions — enabling continuity, personalization, and compound learning over time."
Working Memory,,Retrieval & Knowledge,conceptual,adoption,developer,2,"def,cross",Agent Memory|Long-term Memory|Context Window,no,"The information currently available to an agent within its active context — analogous to human short-term memory, limited by context window size."
Episodic Memory,,Retrieval & Knowledge,conceptual,adoption,developer,3,"def,cross",Agent Memory|Long-term Memory|RAG,no,"Stored records of specific past interactions or events — enabling agents to recall what happened in previous sessions rather than just general knowledge."
Prompt,user prompt,Prompt Engineering,conceptual,awareness,all,1,"def,process,cross,role",System Prompt|Prompt Template|Few-shot Prompting,yes,"The input text you send to a model — the primary interface through which humans communicate intent to AI systems."
System Prompt,,Prompt Engineering,conceptual,adoption,developer|operator,1,"def,process,cross,failure,role",Prompt|Instruction Tuning|Guardrails,yes,"Instructions given to a model before user interaction begins — setting persona, constraints, format, and behavioral rules for the entire conversation."
Few-shot Prompting,,Prompt Engineering,conceptual,adoption,all,2,"def,process,cross",Zero-shot Prompting|Chain-of-Thought Prompting|Prompt Template,no,"Providing example input-output pairs in the prompt to demonstrate the desired behavior — often significantly improving performance without any fine-tuning."
Zero-shot Prompting,,Prompt Engineering,conceptual,adoption,all,2,"def,cross",Few-shot Prompting|Instruction Tuning,no,"Asking a model to perform a task with no examples — relying entirely on the model's pre-trained knowledge and instruction following capabilities."
Prompt Template,,Prompt Engineering,technical,adoption,developer|operator,2,"def,process,cross",Prompt|System Prompt|Prompt Chaining,no,"A reusable prompt structure with placeholders for variable inputs — the foundation of any systematic AI workflow."
Prompt Injection,indirect prompt injection,Prompt Engineering,technical,adoption,developer|cto,2,"def,failure,cross,role",System Prompt|Jailbreaking|AI Safety|Guardrails,no,"An attack where malicious content in the environment (documents, web pages, tool outputs) hijacks an agent's instructions — a critical security concern for production agents."
Jailbreaking,,Prompt Engineering,conceptual,awareness,developer|cto,2,"def,failure,cross",Prompt Injection|AI Safety|Guardrails,no,"Techniques to bypass a model's safety constraints through adversarial prompting — a cat-and-mouse dynamic between model developers and adversarial users."
Prompt Chaining,,Prompt Engineering,technical,adoption,developer|operator,2,"def,process,cross",Prompt Template|Agentic Workflow|Orchestration,yes,"Connecting multiple prompts sequentially where each output feeds the next — enabling complex workflows without full agent autonomy."
Structured Output,JSON mode,Prompt Engineering,technical,adoption,developer,2,"def,process,cross",Prompt Template|Tool Use|Document Indexing,yes,"Configuring a model to return data in a specific format (JSON, XML, etc.) rather than free text — essential for integrating AI into downstream systems."
XML Tags in Prompts,,Prompt Engineering,technical,adoption,developer,3,"def,process,cross",Structured Output|System Prompt|Prompt Template,yes,"Using XML-style markup to delineate sections within prompts — particularly effective with Claude for clearly separating instructions, context, and content."
Meta-prompting,,Prompt Engineering,technical,scaling,developer,3,"def,process,cross",Prompt Template|Few-shot Prompting|Prompt Optimization,no,"Using an LLM to write or improve prompts — automating prompt engineering at scale."
Prompt Optimization,,Prompt Engineering,technical,scaling,developer|operator,3,"def,process,cross",Meta-prompting|Evals|Prompt Template,no,"Systematically improving prompts based on evaluation results — treating prompts as code that needs testing and iteration, not just writing."
Role Prompting,,Prompt Engineering,conceptual,adoption,all,2,"def,process,cross,failure",System Prompt|Instruction Tuning,no,"Assigning a persona or role to the model in the system prompt — 'You are an expert compliance officer' — to shape tone, depth, and framing of responses."
Prompt Governance,,Prompt Engineering,conceptual,scaling,operator|cto|executive,2,"def,process,cross,absence,role",System Prompt|AI Governance|Prompt Injection,no,"Organizational processes for managing, versioning, reviewing, and controlling prompts used in production — the missing layer in most enterprise AI deployments."
API,AI API,Infrastructure & Deployment,conceptual,awareness,developer|cto|founder,1,"def,process,cross,role",Rate Limiting|Latency|Cost Optimization|Model Routing,yes,"The programmatic interface for sending requests to AI models — enabling developers to integrate AI capabilities into applications without running their own models."
Rate Limiting,,Infrastructure & Deployment,technical,adoption,developer|cto,2,"def,failure,cross,role",API|Throughput|Batch Processing,yes,"Constraints on how many API requests can be made per unit time — a practical ceiling that affects system design for high-volume production deployments."
Latency,,Infrastructure & Deployment,technical,adoption,developer|cto|operator,1,"def,cross,failure,role",Throughput|Streaming|Model Inference|Cost Optimization,no,"The time between sending a request and receiving a response — a critical UX factor that shapes whether AI features feel fluid or frustrating."
Throughput,,Infrastructure & Deployment,technical,scaling,developer|cto,2,"def,cross,role",Latency|Rate Limiting|Batch Processing,no,"The volume of requests a system can handle per unit time — the capacity dimension of AI infrastructure, as opposed to latency's speed dimension."
Streaming,LLM streaming,Infrastructure & Deployment,technical,adoption,developer,2,"def,process,cross,role",Latency|API|Model Inference,yes,"Sending model output token-by-token as it's generated rather than waiting for the complete response — dramatically improving perceived latency for users."
Prompt Caching,,Infrastructure & Deployment,technical,scaling,developer|cto,2,"def,process,cross,role",Cost Optimization|Long Context|System Prompt,yes,"Storing and reusing the computed representation of repeated prompt prefixes — significantly reducing latency and cost for applications with stable system prompts."
Batch Processing,,Infrastructure & Deployment,technical,scaling,developer|cto,2,"def,process,cross,role",Throughput|Cost Optimization|Rate Limiting,yes,"Processing multiple AI requests together rather than individually — trading latency for cost efficiency, ideal for non-real-time workloads."
Cost Optimization,,Infrastructure & Deployment,conceptual,scaling,cto|founder|executive,2,"def,process,cross,role,absence",Token|Prompt Caching|Batch Processing|Quantization|Model Routing,yes,"Strategies for reducing AI infrastructure costs — spanning model selection, prompt efficiency, caching, batching, and routing — the unsexy work that determines whether AI projects are viable."
Model Routing,,Infrastructure & Deployment,technical,scaling,cto|developer,2,"def,process,cross,role",Cost Optimization|API|Latency,no,"Directing requests to different models based on complexity, cost, or capability — using cheaper models for simple tasks and reserving powerful models for complex ones."
LLMOps,,Infrastructure & Deployment,conceptual,scaling,cto|developer,2,"def,process,cross,role",MLOps|Observability|Evals|Model Versioning,no,"Operational practices for deploying and managing LLM-based applications in production — encompassing monitoring, evaluation, versioning, and cost management."
Observability,AI observability,Infrastructure & Deployment,technical,scaling,developer|cto,2,"def,process,cross,role,absence",LLMOps|Evals|Logging,no,"Visibility into what AI systems are doing in production — tracking inputs, outputs, costs, latency, and errors to detect drift and diagnose failures."
Model Versioning,,Infrastructure & Deployment,technical,scaling,developer|cto,2,"def,process,cross",LLMOps|Fine-tuning|Evals,no,"Managing multiple versions of models and prompts in production — critical when model updates change behavior and you need rollback capability."
Evals,AI evaluation,Evaluation & Safety,conceptual,adoption,developer|cto|operator,1,"def,process,cross,failure,role,absence",Benchmark|Red Teaming|Observability|Prompt Optimization,yes,"Systematic tests for measuring model performance on specific tasks — the AI equivalent of unit tests, and the most underdeveloped practice in enterprise AI adoption."
Benchmark,,Evaluation & Safety,conceptual,awareness,developer|cto,2,"def,cross,history,absence",Evals|AI Safety|Alignment,no,"A standardized test used to compare model capabilities — useful for general capability comparison but often misaligned with real-world task performance."
Red Teaming,,Evaluation & Safety,technical,adoption,developer|cto,2,"def,process,cross,role",AI Safety|Evals|Jailbreaking|Guardrails,no,"Deliberately attempting to elicit harmful, incorrect, or unintended behavior from an AI system — an adversarial evaluation practice borrowed from cybersecurity."
AI Safety,,Evaluation & Safety,conceptual,awareness,all,1,"def,cross,history,role",Alignment|Guardrails|Red Teaming|Constitutional AI,yes,"The field and practice of ensuring AI systems behave as intended without causing harm — spanning technical alignment research to deployment-level guardrails."
Alignment,,Evaluation & Safety,conceptual,awareness,cto|executive,2,"def,cross,history",RLHF|Constitutional AI|AI Safety,yes,"The challenge of ensuring AI systems pursue the goals humans actually want rather than proxy goals that diverge at scale — a core research problem and practical deployment concern."
Guardrails,,Evaluation & Safety,conceptual,adoption,developer|operator|cto,2,"def,process,cross,role",AI Safety|Prompt Injection|System Prompt|Content Moderation,yes,"Technical and policy constraints that limit AI system behavior — preventing harmful outputs, enforcing scope, and maintaining compliance in production."
Content Moderation,,Evaluation & Safety,technical,adoption,developer|cto,2,"def,process,cross",Guardrails|AI Safety|Responsible AI,no,"Automated or human-assisted filtering of AI inputs and outputs to detect and block harmful content — a deployment requirement in consumer-facing applications."
AI Bias,,Evaluation & Safety,conceptual,awareness,all,2,"def,cross,role,history,absence",Fairness|Evals|Responsible AI,no,"Systematic skew in AI outputs that unfairly advantages or disadvantages particular groups — often inherited from training data and amplified by model behavior."
AI Fairness,,Evaluation & Safety,conceptual,adoption,executive|cto,2,"def,cross,role,absence",AI Bias|Responsible AI|AI Governance,no,"The property of AI systems treating individuals and groups equitably — a multidimensional concept with competing mathematical definitions that cannot all be satisfied simultaneously."
Explainability,explainable AI|XAI,Evaluation & Safety,conceptual,adoption,executive|cto|operator,2,"def,cross,role,absence",Interpretability|AI Governance|Responsible AI,no,"The ability to describe why an AI system produced a particular output in human-understandable terms — required in regulated industries and high-stakes decisions."
Interpretability,mechanistic interpretability,Evaluation & Safety,technical,awareness,developer|cto,3,"def,cross,history",Explainability|AI Safety|Alignment,yes,"Understanding the internal computations of neural networks — a research frontier at Anthropic aimed at understanding what's actually happening inside models."
Responsible AI,,Evaluation & Safety,conceptual,adoption,executive|operator,2,"def,cross,role",AI Safety|AI Governance|AI Bias|AI Fairness,no,"A framework for developing and deploying AI in ways that are ethical, accountable, transparent, and fair — increasingly a regulatory and stakeholder expectation."
AI Governance,,Evaluation & Safety,conceptual,scaling,executive|operator|cto,2,"def,process,cross,role,absence",Responsible AI|Prompt Governance|AI Compliance|Human-in-the-Loop,no,"Organizational policies, processes, and structures for managing AI development and use — who decides what AI can do, how decisions are reviewed, and how accountability is assigned."
AI Compliance,,Evaluation & Safety,conceptual,adoption,executive|operator,2,"def,process,cross,role",AI Governance|Responsible AI|Guardrails,no,"Ensuring AI systems meet legal, regulatory, and industry-specific requirements — increasingly complex as AI regulations expand globally."
AI ROI,,Business Strategy & ROI,conceptual,evaluation,founder|executive|operator,1,"def,process,cross,failure,absence,role",AI Adoption|Total Cost of Ownership|AI Pilot,no,"The return on investment from AI initiatives — notoriously difficult to measure because most ROI frameworks weren't designed for probabilistic, continuously-improving systems."
AI Adoption,,Business Strategy & ROI,conceptual,awareness,all,1,"def,process,cross,failure,role",AI Strategy|AI Literacy|Change Management,no,"The organizational process of integrating AI into workflows and culture — where most AI initiatives actually fail, not in the technology."
AI Strategy,,Business Strategy & ROI,conceptual,evaluation,founder|executive,1,"def,process,cross,role,absence",AI Adoption|Build vs. Buy|AI Use Case Discovery,no,"A deliberate plan for how an organization will use AI to create competitive advantage — distinguishing tactical tool adoption from structural capability building."
Build vs. Buy,,Business Strategy & ROI,conceptual,evaluation,cto|founder|executive,1,"def,process,cross,failure,role",AI Strategy|Fine-tuning|API,no,"The decision between building custom AI solutions versus using off-the-shelf products — rarely binary in practice, usually a spectrum of customization on top of foundation models."
AI Literacy,,Business Strategy & ROI,conceptual,awareness,all,1,"def,process,cross,role",AI Adoption|Change Management|AI Strategy,no,"The baseline understanding of AI capabilities and limitations needed for effective use — the gap between AI literacy and actual deployment is where most enterprise value is lost."
Change Management,AI change management,Business Strategy & ROI,conceptual,adoption,executive|operator,2,"def,process,cross,failure,role",AI Adoption|AI Literacy|Human-in-the-Loop,no,"The organizational work of helping people adapt to AI-changed workflows — the most consistently underestimated cost in AI deployment projects."
AI Pilot,,Business Strategy & ROI,conceptual,evaluation,founder|executive|operator,2,"def,process,cross,failure,role",AI Strategy|AI ROI|AI Adoption,no,"A contained test of an AI solution before full deployment — valuable for proving ROI but frequently misstructured in ways that don't predict production success."
Total Cost of Ownership,TCO,Business Strategy & ROI,conceptual,scaling,cto|founder|executive,2,"def,process,cross,absence,role",AI ROI|Cost Optimization|AI Adoption,no,"The full cost of an AI initiative including API costs, engineering time, evaluation overhead, change management, and ongoing maintenance — typically 3-5x the initial estimate."
AI Use Case Discovery,,Business Strategy & ROI,conceptual,evaluation,operator|executive|founder,2,"def,process,cross,role,absence",AI Strategy|AI Adoption|Workflow Automation,no,"The structured process of identifying where AI creates genuine business value versus where it creates complexity — the highest-leverage early activity in any AI program."
Workflow Automation,,Business Strategy & ROI,conceptual,adoption,operator|executive,1,"def,process,cross,failure,role",Agentic Workflow|AI Adoption|AI Augmentation,no,"Using AI to execute or assist with repetitive process steps — the most common entry point for business AI adoption and frequently mistaken for AI strategy."
AI Augmentation,,Business Strategy & ROI,conceptual,awareness,all,1,"def,cross,role,history",Workflow Automation|Human-in-the-Loop|AI Adoption,no,"Using AI to enhance human capabilities rather than replace human roles — the framing that consistently drives higher adoption rates and better outcomes than automation-first messaging."
AI Integration,,Business Strategy & ROI,technical,adoption,cto|developer,2,"def,process,cross,failure",API|Agentic Workflow|LLMOps,no,"The technical work of connecting AI capabilities into existing systems, databases, and workflows — where good prompts meet real data and production constraints."
Chief AI Officer,CAIO,Business Strategy & ROI,conceptual,scaling,executive,3,"def,cross,role,history,absence",AI Strategy|AI Governance|AI Adoption,no,"An executive role responsible for organizational AI strategy and governance — emerging rapidly as AI moves from IT experiment to strategic priority."
AI Center of Excellence,AI CoE,Business Strategy & ROI,conceptual,scaling,executive|operator,3,"def,process,cross,role,absence",AI Strategy|AI Governance|AI Literacy,no,"A centralized team that sets AI standards, shares best practices, and coordinates deployment across an organization — effective at scale, often premature for early-stage adoption."
Claude,,Tools & Ecosystem,conceptual,awareness,all,1,"def,cross,history,role",Anthropic|Claude Agent SDK|MCP|Constitutional AI,yes,"Anthropic's AI assistant and API — built with Constitutional AI for safety, known for long context, strong reasoning, and instruction-following. The focus of this knowledge hub."
Anthropic,,Tools & Ecosystem,conceptual,awareness,all,1,"def,cross,history",Claude|Constitutional AI|AI Safety|Interpretability,yes,"The AI safety company founded in 2021 that builds Claude — notable for Constitutional AI research, mechanistic interpretability work, and publishing the AI Safety Level (ASL) framework."
GPT-4,ChatGPT,Tools & Ecosystem,conceptual,awareness,all,1,"def,cross,role,history",OpenAI|Large Language Model|Claude,no,"OpenAI's flagship model family — the most widely deployed LLM in enterprise contexts and the benchmark most organizations use when evaluating alternatives."
OpenAI,,Tools & Ecosystem,conceptual,awareness,all,1,"def,cross,history",GPT-4|Large Language Model|RLHF,no,"The AI company behind GPT and ChatGPT — the organization that catalyzed mainstream AI adoption with ChatGPT's November 2022 launch."
Google Gemini,Bard,Tools & Ecosystem,conceptual,awareness,all,2,"def,cross,history,role",Large Language Model|Claude|GPT-4,no,"Google DeepMind's LLM family — notable for deep integration with Google Workspace and its multimodal capabilities."
Meta LLaMA,Llama,Tools & Ecosystem,conceptual,awareness,developer|cto,2,"def,cross,history,role",Large Language Model|Fine-tuning|Open Source AI,no,"Meta's open-weight LLM family — the foundation for most open-source fine-tuning work and self-hosted AI deployments."
Open Source AI,,Tools & Ecosystem,conceptual,evaluation,cto|developer,2,"def,cross,role,history,absence",Meta LLaMA|Build vs. Buy|Fine-tuning,no,"AI models released with public weights that can be run, modified, and deployed without API dependencies — a strategic alternative to proprietary APIs for cost, privacy, or control reasons."
Hugging Face,,Tools & Ecosystem,technical,awareness,developer,2,"def,cross,role",Open Source AI|Embedding|Fine-tuning,no,"The central hub for open-source AI models, datasets, and tooling — effectively the GitHub of the AI ecosystem."
LangChain,,Tools & Ecosystem,technical,adoption,developer,2,"def,cross,role,history",LlamaIndex|Orchestration|RAG|AI Agent,no,"An open-source framework for building LLM-powered applications — popular for RAG and agent workflows, though often criticized for adding complexity without proportional value."
LlamaIndex,LlamaIndex,Tools & Ecosystem,technical,adoption,developer,2,"def,cross,role",LangChain|RAG|Vector Database|Document Indexing,no,"An open-source data framework optimized for connecting LLMs to external data — particularly strong for document indexing and retrieval pipeline construction."
Cursor,,Tools & Ecosystem,conceptual,awareness,developer,2,"def,cross,role",GitHub Copilot|AI Augmentation|Workflow Automation,no,"An AI-native code editor built on VS Code — widely considered the most productive AI coding tool for professional developers."
GitHub Copilot,,Tools & Ecosystem,conceptual,awareness,developer,1,"def,cross,role,history",Cursor|AI Augmentation|Workflow Automation,no,"Microsoft's AI coding assistant integrated into GitHub — the first mass-market AI developer tool and still the most widely deployed in enterprise engineering teams."
Perplexity AI,,Tools & Ecosystem,conceptual,awareness,all,2,"def,cross,role",RAG|Semantic Search|Large Language Model,no,"An AI-powered search engine that retrieves and synthesizes real-time web content — demonstrating RAG at consumer scale."
Claude.ai,,Tools & Ecosystem,conceptual,awareness,all,1,"def,cross,role",Claude|Anthropic|API,yes,"Anthropic's consumer and business web interface for Claude — distinct from the API, offering Projects, file uploads, and team collaboration features."
Anthropic Console,,Tools & Ecosystem,technical,adoption,developer,2,"def,process,cross",Claude|API|Evals|Prompt Template,yes,"Anthropic's developer platform for testing prompts, managing API keys, running evaluations, and accessing usage analytics."
